trialID,Participant,LayoutBlockNum,ConditionBlockNum,TrialNum,LayoutType,Condition,TargetType,PairCount,SelfRotation,RotateDirection,DecoyAmount,CurrentDecoy,RotationAmount,Baseline,Testing,DecoyBaseline,DecoyTesting,BeginTime,EndTime,ResponsePos_X,ResponsePos_Y,ResponsePos_Z,AnsPos_X,AnsPos_Y,AnsPos_Z,TargetName,ControllerPos_X,ControllerPos_Y,ControllerPoss_Z
P1,4,0,1,0,B,physicalStatic,physicalTarget,0,none,-1,3,0,0,False,False,False,True,39.275670,40.192430,-0.443228,0.000000,2.112952,-0.395445,0.000000,2.208543,Dotted Decoy Target,0.033211,0.659880,0.039935
P1,4,0,1,0,B,physicalStatic,physicalTarget,1,none,-1,3,0,0,False,False,False,True,40.192430,40.900590,0.608179,0.000000,1.112509,0.634143,0.000000,0.909538,Stripes Decoy Target,0.084337,0.650785,0.046746
P1,4,0,1,0,B,physicalStatic,physicalTarget,0,none,-1,3,1,0,False,False,True,False,57.927230,59.094430,-0.101806,0.000000,2.419565,-0.249446,0.000000,3.138758,Stripes Decoy Target,0.062472,0.661365,0.048209
P1,4,0,1,0,B,physicalStatic,physicalTarget,1,none,-1,3,1,0,False,False,True,False,59.094430,59.927640,0.296895,0.000000,0.879991,0.268839,0.000000,0.758106,Dotted Decoy Target,0.072247,0.638142,0.056051
P1,4,0,1,0,B,physicalStatic,physicalTarget,0,none,-1,3,1,0,False,False,False,True,64.927800,66.094260,0.386350,0.000000,0.912964,0.268839,0.000000,0.758106,Dotted Decoy Target,0.079782,0.640054,0.055629
P1,4,0,1,0,B,physicalStatic,physicalTarget,1,none,-1,3,1,0,False,False,False,True,66.094260,66.927440,-0.165405,0.000000,3.118048,-0.249446,0.000000,3.138758,Stripes Decoy Target,0.045282,0.667954,0.038092
P1,4,0,1,0,B,physicalStatic,physicalTarget,0,none,-1,3,2,0,False,False,True,False,83.954280,84.856610,0.564429,0.000000,0.773787,0.497931,0.000000,0.616527,Dotted Decoy Target,0.105096,0.641976,0.048891
P1,4,0,1,0,B,physicalStatic,physicalTarget,1,none,-1,3,2,0,False,False,True,False,84.856610,85.551450,0.220566,0.000000,2.798569,0.135416,0.000000,2.907149,Stripes Decoy Target,0.058272,0.668018,0.044153
P1,4,0,1,0,B,physicalStatic,physicalTarget,0,none,-1,3,2,0,False,False,False,True,90.565120,91.745800,0.137500,0.000000,2.373492,0.135416,0.000000,2.907149,Stripes Decoy Target,0.062270,0.662244,0.047609
P1,4,0,1,0,B,physicalStatic,physicalTarget,1,none,-1,3,2,0,False,False,False,True,91.745800,93.412830,0.531217,0.000000,0.818193,0.497931,0.000000,0.616527,Dotted Decoy Target,0.111170,0.642619,0.039378
P1,4,0,1,0,B,physicalStatic,physicalTarget,0,none,-1,3,0,0,False,True,False,False,98.425510,101.786800,-0.640817,0.000000,1.161103,-0.800000,0.000000,1.450000,Blue Physical Target,0.026495,0.653561,0.025794
P1,4,0,1,0,B,physicalStatic,physicalTarget,1,none,-1,3,0,0,False,True,False,False,101.786800,103.120100,0.808956,0.000000,1.152611,0.800000,0.000000,0.950000,Green Physical Target,0.106096,0.652883,0.046739
P1,5,0,1,1,B,virtualRotate,virtualTarget,0,rotate,0,3,0,0,True,False,False,False,12.013320,13.943650,1.136843,0.000000,3.686177,0.752114,0.000000,3.297282,Green Virtual Target,0.073083,0.746327,0.062341
P1,5,0,1,1,B,virtualRotate,virtualTarget,1,rotate,0,3,0,0,True,False,False,False,13.943650,14.707550,-0.604732,0.000000,0.970690,-0.634059,0.000000,0.651509,Blue Virtual Target,-0.027372,0.701823,0.002766
P1,5,0,1,1,B,virtualRotate,virtualTarget,0,rotate,0,3,0,0,False,False,True,False,31.720320,32.943200,0.775030,0.000000,0.849521,0.754471,0.000000,0.853898,Dotted Decoy Target,0.112064,0.646337,0.057006
P1,5,0,1,1,B,virtualRotate,virtualTarget,1,rotate,0,3,0,0,False,False,True,False,32.943200,33.748650,-0.331288,0.000000,1.986880,-0.372219,0.000000,2.086769,Stripes Decoy Target,0.016024,0.657376,0.047287
P1,5,0,1,1,B,virtualRotate,virtualTarget,0,rotate,0,3,0,0,False,False,False,True,38.761940,39.803580,0.698555,0.000000,0.975346,0.754471,0.000000,0.853898,Dotted Decoy Target,0.098929,0.646446,0.063042
P1,5,0,1,1,B,virtualRotate,virtualTarget,1,rotate,0,3,0,0,False,False,False,True,39.803580,40.456280,-0.487445,0.000000,1.967623,-0.372219,0.000000,2.086769,Stripes Decoy Target,0.022455,0.659258,0.050083
P1,5,0,1,1,B,virtualRotate,virtualTarget,0,rotate,0,3,1,80,False,False,True,False,57.469760,58.386020,-0.250535,0.000000,1.730425,-0.399729,0.000000,2.012377,Dotted Decoy Target,0.039080,0.651612,0.067780
P1,5,0,1,1,B,virtualRotate,virtualTarget,1,rotate,0,3,1,80,False,False,True,False,58.386020,59.108620,-0.826178,0.000000,1.020433,-0.869815,0.000000,1.033393,Stripes Decoy Target,0.005650,0.649026,0.043833
P1,5,0,1,1,B,virtualRotate,virtualTarget,0,rotate,0,3,1,80,False,False,False,True,64.121990,66.052840,-0.907940,0.000000,1.132673,-0.869815,0.000000,1.033393,Stripes Decoy Target,-0.179933,0.651610,0.010169
P1,5,0,1,1,B,virtualRotate,virtualTarget,1,rotate,0,3,1,80,False,False,False,True,66.052840,66.733480,-0.468980,0.000000,2.138342,-0.399729,0.000000,2.012377,Dotted Decoy Target,-0.148546,0.662171,0.034511
P1,5,0,1,1,B,virtualRotate,virtualTarget,0,rotate,0,3,2,40,False,False,True,False,83.760160,84.676830,-1.094280,0.000000,0.958493,-1.197019,0.000000,0.982655,Dotted Decoy Target,-0.202835,0.646203,-0.004867
P1,5,0,1,1,B,virtualRotate,virtualTarget,1,rotate,0,3,2,40,False,False,True,False,84.676830,85.454590,-1.789377,0.000000,0.796774,-1.773817,0.000000,0.791668,Stripes Decoy Target,-0.209576,0.652543,-0.031349
P1,5,0,1,1,B,virtualRotate,virtualTarget,0,rotate,0,3,2,40,False,False,False,True,90.468640,91.898650,-2.040693,0.000000,0.670020,-1.773817,0.000000,0.791668,Stripes Decoy Target,-0.230879,0.661571,-0.048969
P1,5,0,1,1,B,virtualRotate,virtualTarget,1,rotate,0,3,2,40,False,False,False,True,91.898650,93.093300,-1.150854,0.000000,0.993816,-1.197019,0.000000,0.982655,Dotted Decoy Target,-0.199744,0.656794,-0.020333
P1,5,0,1,1,B,virtualRotate,virtualTarget,0,rotate,0,3,0,0,False,True,False,False,98.093510,103.342500,-0.205859,0.000000,0.996057,-0.634059,0.000000,0.651509,Blue Virtual Target,-0.081338,0.667091,0.068024
P1,5,0,1,1,B,virtualRotate,virtualTarget,1,rotate,0,3,0,0,False,True,False,False,103.342500,104.398100,0.419199,0.000000,2.664840,0.752114,0.000000,3.297282,Green Virtual Target,-0.025256,0.740111,0.132730
P1,6,0,1,2,B,physicalRotate,physicalTarget,0,rotate,2,2,0,80,True,False,False,False,12.000290,13.166360,-0.778869,0.000000,1.449272,-0.800000,0.000000,1.450000,Blue Physical Target,0.015463,0.633675,0.089819
P1,6,0,1,2,B,physicalRotate,physicalTarget,1,rotate,2,2,0,80,True,False,False,False,13.166360,13.971570,0.823923,0.000000,1.078093,0.800000,0.000000,0.950000,Green Physical Target,0.094117,0.631861,0.108823
P1,6,0,1,2,B,physicalRotate,physicalTarget,0,rotate,2,2,0,80,False,False,True,False,30.998980,31.971140,0.045882,0.000000,1.136660,0.138560,0.000000,1.120361,Stripes Decoy Target,0.047766,0.617954,0.112407
P1,6,0,1,2,B,physicalRotate,physicalTarget,1,rotate,2,2,0,80,False,False,True,False,31.971140,32.804610,-0.595625,0.000000,1.579408,-0.667942,0.000000,1.614496,Dotted Decoy Target,0.023429,0.631599,0.090854
P1,6,0,1,2,B,physicalRotate,physicalTarget,0,rotate,2,2,0,80,False,False,False,True,37.818200,39.165210,-0.639890,0.000000,1.631058,-0.667942,0.000000,1.614496,Dotted Decoy Target,-0.163904,0.672133,0.085510
P1,6,0,1,2,B,physicalRotate,physicalTarget,1,rotate,2,2,0,80,False,False,False,True,39.165210,39.914740,0.200192,0.000000,1.235068,0.138560,0.000000,1.120361,Stripes Decoy Target,-0.101611,0.648366,0.111787
P1,6,0,1,2,B,physicalRotate,physicalTarget,0,rotate,2,2,1,40,False,False,True,False,56.928500,57.956220,-0.507561,0.000000,1.011535,-0.463817,0.000000,0.988551,Dotted Decoy Target,-0.207252,0.629510,0.051871
P1,6,0,1,2,B,physicalRotate,physicalTarget,1,rotate,2,2,1,40,False,False,True,False,57.956220,58.902630,-2.303743,0.000000,1.071370,-2.095115,0.000000,0.868555,Stripes Decoy Target,-0.234035,0.644817,-0.001528
P1,6,0,1,2,B,physicalRotate,physicalTarget,0,rotate,2,2,1,40,False,False,False,True,63.914300,65.441830,-0.316871,0.000000,1.091765,-0.463817,0.000000,0.988551,Dotted Decoy Target,-0.236283,0.646461,0.012951
P1,6,0,1,2,B,physicalRotate,physicalTarget,1,rotate,2,2,1,40,False,False,False,True,65.441830,66.247460,-2.043781,0.000000,0.949756,-2.095115,0.000000,0.868555,Stripes Decoy Target,-0.283319,0.677156,-0.077036
P1,6,0,1,2,B,physicalRotate,physicalTarget,0,rotate,2,2,0,80,False,True,False,False,71.261340,73.941670,-0.375192,0.000000,1.497061,-0.800000,0.000000,1.450000,Blue Physical Target,-0.060088,0.698133,0.056794
P1,6,0,1,2,B,physicalRotate,physicalTarget,1,rotate,2,2,0,80,False,True,False,False,73.941670,74.788920,1.071927,0.000000,0.861311,0.800000,0.000000,0.950000,Green Physical Target,0.086820,0.682378,0.046760
P1,7,0,1,3,B,virtualStatic,virtualTarget,0,none,-1,2,0,0,True,False,False,False,12.013680,12.930220,-0.537120,0.000000,0.852599,-0.501257,0.000000,0.841207,Blue Virtual Target,-0.031019,0.631414,0.076755
P1,7,0,1,3,B,virtualStatic,virtualTarget,1,none,-1,2,0,0,True,False,False,False,12.930220,13.680800,-0.377473,0.000000,1.875309,-0.313857,0.000000,1.926232,Green Virtual Target,-0.001326,0.648199,0.098339
P1,7,0,1,3,B,virtualStatic,virtualTarget,0,none,-1,2,0,0,False,False,True,False,30.707780,31.679040,0.517287,0.000000,0.885773,0.682122,0.000000,0.940719,Stripes Decoy Target,0.051092,0.644131,0.095782
P1,7,0,1,3,B,virtualStatic,virtualTarget,1,none,-1,2,0,0,False,False,True,False,31.679040,32.221260,0.322474,0.000000,1.902699,0.054816,0.000000,1.820324,Dotted Decoy Target,0.020733,0.658487,0.091219
P1,7,0,1,3,B,virtualStatic,virtualTarget,0,none,-1,2,0,0,False,False,False,True,37.233840,38.665650,0.561739,0.000000,1.049578,0.682122,0.000000,0.940719,Stripes Decoy Target,0.044678,0.645757,0.097532
P1,7,0,1,3,B,virtualStatic,virtualTarget,1,none,-1,2,0,0,False,False,False,True,38.665650,39.165440,0.062024,0.000000,1.969516,0.054816,0.000000,1.820324,Dotted Decoy Target,0.004017,0.657520,0.088671
P1,7,0,1,3,B,virtualStatic,virtualTarget,0,none,-1,2,1,0,False,False,True,False,56.178270,57.289230,0.568108,0.000000,2.826285,0.958845,0.000000,3.050188,Dotted Decoy Target,0.015879,0.657927,0.100815
